department,service_request_type,status,closure_reason,local_area,channel,open_dt,close_dt,open_year,open_month,open_month_name,open_day_of_week,closure_days,is_closed
Eng - Integrated Graffiti Management,Graffiti Removal - External Organization Case,Close,Closed Automatically And Sent To Service Group,Grandview-Woodland,Mobile App,2022-10-22 14:40:00-07:00,2022-10-22,2022,10,Oct,Saturday,-1.0,True
311 Contact Centre,City Services Feedback Case,Close,Referred To Another Service Group,Mount Pleasant,Phone,2022-09-14 11:10:26-07:00,2022-09-14,2022,9,Sep,Wednesday,-1.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,Grandview-Woodland,Phone,2022-09-14 11:12:40-07:00,2022-09-14,2022,9,Sep,Wednesday,-1.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Fairview,Phone,2022-09-14 11:13:00-07:00,2022-09-20,2022,9,Sep,Wednesday,5.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Reviewed And No Action Planned,Fairview,Phone,2022-09-14 11:18:00-07:00,2022-09-14,2022,9,Sep,Wednesday,-1.0,True
311 Contact Centre,General Feedback Case,Close,Referred To Another Service Group,,Web,2022-09-14 11:19:00-07:00,2022-09-14,2022,9,Sep,Wednesday,-1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Close,Service Provided,South Cambie,Mobile App,2022-09-13 15:14:42-07:00,2022-09-20,2022,9,Sep,Tuesday,6.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Alternate Service Required,Grandview-Woodland,Web,2022-09-13 15:33:00-07:00,2022-09-14,2022,9,Sep,Tuesday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-09-13 15:34:24-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Downtown,Mobile App,2022-09-13 15:39:02-07:00,2022-09-16,2022,9,Sep,Tuesday,2.0,True
Dbl - Animal Services,Animal Services Inquiry Case,Close,Dispatched To Crew,,Phone,2022-09-13 15:43:15-07:00,2022-09-13,2022,9,Sep,Tuesday,-1.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-09-13 15:45:58-07:00,2022-09-28,2022,9,Sep,Tuesday,14.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Victoria-Fraserview,Web,2022-09-13 16:01:22-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Kitsilano,Phone,2022-09-13 16:13:00-07:00,2022-09-14,2022,9,Sep,Tuesday,0.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Dunbar-Southlands,Web,2022-09-13 16:14:01-07:00,2022-09-16,2022,9,Sep,Tuesday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-09-13 16:23:00-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Eng - Streets Operations,Sidewalk Repair Case,Close,Service Provided,Kerrisdale,Web,2022-09-13 16:24:08-07:00,2022-09-16,2022,9,Sep,Tuesday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Victoria-Fraserview,Phone,2022-09-13 16:26:00-07:00,2022-09-14,2022,9,Sep,Tuesday,0.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Arbutus Ridge,Phone,2022-09-13 16:36:54-07:00,2022-09-27,2022,9,Sep,Tuesday,13.0,True
Eng - Waterworks Operations,Water Leak Case,Close,Service Provided,Kitsilano,Phone,2022-09-13 16:37:00-07:00,2022-09-26,2022,9,Sep,Tuesday,12.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Arbutus Ridge,Web,2022-09-13 16:41:54-07:00,2022-09-19,2022,9,Sep,Tuesday,5.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,West Point Grey,Web,2022-09-13 16:45:38-07:00,2022-09-18,2022,9,Sep,Tuesday,4.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Downtown,Web,2022-09-13 16:53:00-07:00,2022-09-14,2022,9,Sep,Tuesday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-09-13 17:04:18-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-09-13 17:14:34-07:00,2022-09-18,2022,9,Sep,Tuesday,4.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-09-13 17:17:23-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-09-13 17:20:53-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Close,Service Provided,Dunbar-Southlands,Mobile App,2022-09-13 17:38:10-07:00,2022-09-27,2022,9,Sep,Tuesday,13.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Riley Park,Phone,2022-09-13 17:38:56-07:00,2022-09-16,2022,9,Sep,Tuesday,2.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Unknown,Fairview,Mobile App,2022-09-13 17:40:41-07:00,2022-09-23,2022,9,Sep,Tuesday,9.0,True
Fsc - Vacancy Tax,Empty Homes Tax Request Case,Close,Reviewed And No Action Planned,Strathcona,Phone,2022-09-13 17:41:19-07:00,2023-03-14,2022,9,Sep,Tuesday,181.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-09-13 17:49:53-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Pr - Park Rangers,Park Ranger Request Case,Close,Service Provided,Downtown,Phone,2022-09-13 17:50:00-07:00,2022-09-13,2022,9,Sep,Tuesday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-13 17:50:57-07:00,2022-09-13,2022,9,Sep,Tuesday,-1.0,True
Cmo - Business And Election Services,Election Inquiry Case,Close,Service Provided,Mount Pleasant,Web,2022-09-13 17:53:36-07:00,2022-09-16,2022,9,Sep,Tuesday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kerrisdale,Web,2022-09-13 18:00:57-07:00,2022-09-16,2022,9,Sep,Tuesday,2.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Arbutus Ridge,Web,2022-09-13 18:05:00-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
311 Contact Centre,Emergency Referral Tracking Report Case,Close,Closed Automatically And Sent To Service Group,Kitsilano,Phone,2022-09-13 18:14:01-07:00,2022-09-13,2022,9,Sep,Tuesday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-13 18:19:55-07:00,2022-09-13,2022,9,Sep,Tuesday,-1.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-09-13 18:20:14-07:00,2022-09-21,2022,9,Sep,Tuesday,7.0,True
Eng - Streets Furniture,Street Furniture Request Case,Close,Further Action Has Been Planned,Mount Pleasant,Web,2022-09-13 18:26:41-07:00,2022-09-14,2022,9,Sep,Tuesday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Downtown,Mobile App,2022-09-13 18:29:51-07:00,2022-09-14,2022,9,Sep,Tuesday,0.0,True
Pr - Park Operations,Graffiti Removal - Park Property Case,Close,Referred To Another Service Group,Grandview-Woodland,Mobile App,2022-09-13 18:30:00-07:00,2022-09-13,2022,9,Sep,Tuesday,-1.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,West End,Web,2022-09-13 18:36:33-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Eng - Integrated Graffiti Management,Graffiti Removal - City Property Case,Close,Service Provided,Renfrew-Collingwood,Mobile App,2022-09-13 18:56:00-07:00,2022-09-22,2022,9,Sep,Tuesday,8.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Shaughnessy,Web,2022-09-13 18:58:00-07:00,2022-09-14,2022,9,Sep,Tuesday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Grandview-Woodland,Web,2022-09-13 19:05:47-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-09-13 19:11:05-07:00,2022-09-15,2022,9,Sep,Tuesday,1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Insufficient Info,Victoria-Fraserview,Web,2022-10-20 15:10:00-07:00,2022-10-26,2022,10,Oct,Thursday,5.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-10-20 15:14:00-07:00,2022-10-27,2022,10,Oct,Thursday,6.0,True
Eng - Parking Management,Residential Parking Permit Request Case,Close,Service Provided,Strathcona,Phone,2022-10-20 15:19:33-07:00,2022-10-24,2022,10,Oct,Thursday,3.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Oakridge,Phone,2022-10-20 15:22:03-07:00,2022-10-25,2022,10,Oct,Thursday,4.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-10-20 15:26:00-07:00,2022-10-28,2022,10,Oct,Thursday,7.0,True
Dbl - Building And Trades Inspections Clerks,Private Property Construction Concern Case,Close,Assigned To Inspector,Sunset,Mobile App,2022-10-20 15:27:46-07:00,2022-10-20,2022,10,Oct,Thursday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,West Point Grey,Web,2022-10-20 15:38:00-07:00,2022-10-25,2022,10,Oct,Thursday,4.0,True
Eng - Street Use Management,Street And Sidewalk Use Request Case,Close,Not A City Provided Service / Jurisdiction,Downtown,Web,2022-10-20 15:39:00-07:00,2022-10-31,2022,10,Oct,Thursday,10.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Riley Park,Phone,2022-10-20 15:42:35-07:00,2022-10-24,2022,10,Oct,Thursday,3.0,True
311 Contact Centre,City Services Feedback Case,Close,Referred To Another Service Group,,Phone,2022-10-20 15:43:00-07:00,2022-10-20,2022,10,Oct,Thursday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Downtown,Web,2022-10-20 15:45:00-07:00,2022-11-03,2022,10,Oct,Thursday,13.0,True
311 Contact Centre,City Services Feedback Case,Close,Referred To Another Service Group,Mount Pleasant,Phone,2022-10-20 15:47:11-07:00,2022-10-20,2022,10,Oct,Thursday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,West End,Web,2022-10-20 15:51:00-07:00,2022-11-03,2022,10,Oct,Thursday,13.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,,Web,2022-10-20 15:53:00-07:00,2022-10-25,2022,10,Oct,Thursday,4.0,True
Fsc - Bylaw Fines,Bylaw Fines Request Case,Close,Service Provided,,Phone,2022-10-20 16:04:45-07:00,2022-10-26,2022,10,Oct,Thursday,5.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Hastings-Sunrise,Mobile App,2022-10-20 16:06:01-07:00,2022-10-25,2022,10,Oct,Thursday,4.0,True
Eng - Sanitation Services,Abandoned Mattress Case,Close,Service Provided,Mount Pleasant,Mobile App,2022-10-20 16:12:52-07:00,2022-10-26,2022,10,Oct,Thursday,5.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Renfrew-Collingwood,Phone,2022-10-20 16:14:00-07:00,2022-10-28,2022,10,Oct,Thursday,7.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-10-20 16:29:28-07:00,2022-10-20,2022,10,Oct,Thursday,-1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Mount Pleasant,Web,2022-10-20 16:31:00-07:00,2022-10-21,2022,10,Oct,Thursday,0.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Mount Pleasant,Phone,2022-10-20 16:33:24-07:00,2022-10-25,2022,10,Oct,Thursday,4.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Sunset,Web,2022-10-20 16:33:51-07:00,2022-10-22,2022,10,Oct,Thursday,1.0,True
Eng - Sanitation Services,Street Cleaning And Debris Pick Up Case,Close,Service Provided,Riley Park,Web,2022-10-20 16:40:44-07:00,2022-10-25,2022,10,Oct,Thursday,4.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Phone,2022-10-20 16:49:00-07:00,2022-10-24,2022,10,Oct,Thursday,3.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Kerrisdale,Phone,2022-10-20 17:03:54-07:00,2022-10-31,2022,10,Oct,Thursday,10.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-10-20 17:15:00-07:00,2022-10-21,2022,10,Oct,Thursday,0.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-10-20 17:26:04-07:00,2022-10-20,2022,10,Oct,Thursday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,West Point Grey,Phone,2022-10-20 17:34:00-07:00,2022-10-21,2022,10,Oct,Thursday,0.0,True
Eng - Sewer Operations,Sewer Maintenance Hole Concern Case,Close,Service Provided,Shaughnessy,Mobile App,2022-10-20 17:34:24-07:00,2022-10-27,2022,10,Oct,Thursday,6.0,True
Eng - Sanitation Services,Dead Animal Pick Up Case,Close,Service Provided,Hastings-Sunrise,Web,2022-10-20 17:41:00-07:00,2022-10-25,2022,10,Oct,Thursday,4.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Grandview-Woodland,Mobile App,2022-10-20 17:42:15-07:00,2022-10-20,2022,10,Oct,Thursday,-1.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,Dunbar-Southlands,Web,2022-10-20 17:47:28-07:00,2022-10-24,2022,10,Oct,Thursday,3.0,True
Eng - Street Use Management,Street And Sidewalk Use Request Case,Close,Assigned To Inspector,Kitsilano,Phone,2022-10-08 17:20:00-07:00,2022-10-12,2022,10,Oct,Saturday,3.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-10-08 17:28:29-07:00,2022-10-08,2022,10,Oct,Saturday,-1.0,True
311 Contact Centre,City Services Feedback Case,Open,,Marpole,Phone,2022-10-08 17:51:29-07:00,,2022,10,Oct,Saturday,,False
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Downtown,Phone,2022-10-08 17:54:00-07:00,2022-10-12,2022,10,Oct,Saturday,3.0,True
311 Contact Centre,City Services Feedback Case,Close,Reviewed And No Action Planned,,Phone,2022-10-08 18:22:59-07:00,2023-04-28,2022,10,Oct,Saturday,201.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,Web,2022-10-08 19:07:06-07:00,2022-10-17,2022,10,Oct,Saturday,8.0,True
Eng - Waterworks Design,Water Conservation Violation Case,Close,Service Provided,Kerrisdale,Mobile App,2022-10-08 20:09:12-07:00,2022-10-11,2022,10,Oct,Saturday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-10-08 20:51:00-07:00,2022-10-11,2022,10,Oct,Saturday,2.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,Kensington-Cedar Cottage,Web,2022-10-08 21:24:32-07:00,2022-10-12,2022,10,Oct,Saturday,3.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Close,Service Provided,Kensington-Cedar Cottage,Mobile App,2022-10-08 21:29:17-07:00,2022-10-12,2022,10,Oct,Saturday,3.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-10-09 05:20:00-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Strathcona,Web,2022-10-09 08:36:23-07:00,2022-10-10,2022,10,Oct,Sunday,0.0,True
Eng - Sanitation Services,Dead Animal Pick Up Case,Close,Service Provided,South Cambie,Phone,2022-10-09 08:49:00-07:00,2022-10-10,2022,10,Oct,Sunday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Mount Pleasant,Phone,2022-10-09 09:11:48-07:00,2022-10-13,2022,10,Oct,Sunday,3.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Unknown,Downtown,Mobile App,2022-10-09 09:54:20-07:00,2022-10-17,2022,10,Oct,Sunday,7.0,True
Eng - Sewer Operations,Sewer Backup Case,Close,Service Provided,Victoria-Fraserview,Phone,2022-10-09 10:04:25-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,Grandview-Woodland,Phone,2022-10-09 10:07:34-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Pr - Park Rangers,Park Ranger Request Case,Close,Service Provided,Renfrew-Collingwood,Mobile App,2022-10-09 10:44:00-07:00,2022-10-14,2022,10,Oct,Sunday,4.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Issue Not Found Or Inaccessible,Grandview-Woodland,Phone,2022-10-09 11:07:00-07:00,2022-10-13,2022,10,Oct,Sunday,3.0,True
Pr - Park Rangers,Park Ranger Request Case,Close,Issue Not Found Or Inaccessible,West End,Phone,2022-10-09 11:09:00-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Dbl - Animal Services,Dog Licence Case,Close,Insufficient Info,South Cambie,Web,2022-10-09 11:14:45-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Eng - Waterworks Design,Water Conservation Violation Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-10-09 11:23:08-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Accs - Social Policy,Needle Clean Up Case,Close,Closed Automatically And Sent To Service Group,Downtown,Mobile App,2022-10-09 11:32:28-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Eng - Waterworks Design,Water Conservation Violation Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-10-09 11:35:23-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,West Point Grey,Mobile App,2022-10-09 11:42:37-07:00,2022-11-10,2022,10,Oct,Sunday,31.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-10-09 11:51:00-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Eng - Traffic And Electrical Operations And Design,Traffic Signal Repair Case,Close,Service Provided,Strathcona,Mobile App,2022-10-09 12:04:26-07:00,2022-11-18,2022,10,Oct,Sunday,39.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Phone,2022-10-09 12:42:00-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-10-09 13:18:16-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Pr - Park Operations,Park Facility Maintenance Request,Close,Referred To Another Service Group,,Mobile App,2022-10-09 13:27:05-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Reviewed And No Action Planned,Downtown,Mobile App,2022-10-09 13:38:56-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Eng - Solid Waste Programs,Illegal Dumping Case,Close,Service Provided,Victoria-Fraserview,Phone,2022-10-09 13:51:49-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Downtown,Web,2022-10-09 14:08:00-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,Kitsilano,Phone,2022-10-09 14:29:09-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Dbl - Building And Trades Inspections Clerks,Private Property Construction Noise Case,Close,Assigned To Inspector,Grandview-Woodland,Phone,2022-10-09 14:37:54-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Victoria-Fraserview,Web,2022-10-09 14:42:02-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Kensington-Cedar Cottage,Mobile App,2022-10-09 14:52:00-07:00,2022-10-18,2022,10,Oct,Sunday,8.0,True
Eng - Sewer Operations,Sewer Backup Case,Close,Service Provided,Marpole,Phone,2022-10-09 14:55:15-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Mount Pleasant,Phone,2022-10-09 14:55:45-07:00,2022-12-09,2022,10,Oct,Sunday,60.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-10-09 15:10:00-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Downtown,Mobile App,2022-10-09 15:11:15-07:00,2022-10-13,2022,10,Oct,Sunday,3.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-10-09 15:20:00-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-10-09 15:22:00-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Sunset,Web,2022-10-09 15:22:35-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Eng - Integrated Graffiti Management,Graffiti Removal - City Property Case,Close,Service Provided,Strathcona,Mobile App,2022-10-09 15:23:00-07:00,2022-10-20,2022,10,Oct,Sunday,10.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Unknown,Grandview-Woodland,Mobile App,2022-10-09 15:30:47-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Eng - Sanitation Services,Loose Litter Clean Up Case,Close,Closed Automatically And Sent To Service Group,Grandview-Woodland,Mobile App,2022-10-09 15:33:12-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Fsc - Bylaw Fines,Bylaw Fines Request Case,Close,Service Provided,,Phone,2022-10-09 15:50:53-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Dbl - Animal Services,Animal Concern Case,Close,Not A City Provided Service / Jurisdiction,Strathcona,Phone,2022-10-09 16:02:02-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-10-09 16:02:00-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Dbl - Proactive Enforcement,Short-Term Rental Concern Case,Close,Further Action Has Been Planned,Sunset,Mobile App,2022-10-09 16:44:20-07:00,2022-10-18,2022,10,Oct,Sunday,8.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-10-09 16:53:00-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Service Provided,Mount Pleasant,Web,2022-10-09 17:40:28-07:00,2022-10-13,2022,10,Oct,Sunday,3.0,True
Eng - Sanitation Services,Abandoned Mattress Case,Close,Issue Not Found Or Inaccessible,,Phone,2022-10-09 18:04:00-07:00,2022-11-15,2022,10,Oct,Sunday,36.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Downtown,Mobile App,2022-10-09 18:37:32-07:00,2022-10-13,2022,10,Oct,Sunday,3.0,True
Eng - Integrated Graffiti Management,Graffiti Removal - City Property Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-10-09 18:55:00-07:00,2022-10-20,2022,10,Oct,Sunday,10.0,True
Eng - Traffic And Electrical Operations And Design,Traffic Signal Repair Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-10-09 19:43:57-07:00,2022-10-13,2022,10,Oct,Sunday,3.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Kitsilano,Phone,2022-10-09 20:08:00-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Unknown,Downtown,Mobile App,2022-10-09 20:14:04-07:00,2022-10-11,2022,10,Oct,Sunday,1.0,True
Eng - Traffic And Electrical Operations And Design,Sign Repair Case,Close,Referred To Another Service Group,,Phone,2022-10-09 20:37:12-07:00,2022-10-12,2022,10,Oct,Sunday,2.0,True
311 Contact Centre,Employee Feedback Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,Phone,2022-10-09 20:55:00-07:00,2023-04-28,2022,10,Oct,Sunday,200.0,True
Eng - Streets Operations,Street Construction Concern Case,Close,Service Provided,Victoria-Fraserview,Phone,2022-10-09 22:05:54-07:00,2022-10-19,2022,10,Oct,Sunday,9.0,True
Eng - Integrated Graffiti Management,Graffiti Removal - External Organization Case,Close,Closed Automatically And Sent To Service Group,Downtown,Mobile App,2022-10-09 23:47:00-07:00,2022-10-09,2022,10,Oct,Sunday,-1.0,True
Accs - Social Policy,Needle Clean Up Case,Close,Closed Automatically And Sent To Service Group,Downtown,Mobile App,2022-09-11 10:48:40-07:00,2022-09-11,2022,9,Sep,Sunday,-1.0,True
Eng - Sanitation Services,Dead Animal Pick Up Case,Close,Service Provided,Arbutus Ridge,Phone,2022-09-11 11:14:00-07:00,2022-09-12,2022,9,Sep,Sunday,0.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-09-11 11:25:00-07:00,2022-09-12,2022,9,Sep,Sunday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Strathcona,Mobile App,2022-09-11 11:27:25-07:00,2022-09-11,2022,9,Sep,Sunday,-1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Unknown,Kitsilano,Mobile App,2022-09-11 11:28:40-07:00,2022-09-14,2022,9,Sep,Sunday,2.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Unknown,Kitsilano,Mobile App,2022-09-11 11:28:00-07:00,2022-09-14,2022,9,Sep,Sunday,2.0,True
